LigandID,Score,SMILES,OnBits
5305,4.5,S(=O)(=O)([O-])[C@H](C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12)c1ccccc1,"1,5,18,33,36,56,64,86,125,126,128,130,175,181,202,233,236,250,255,285,314,332,341,345,350,356,387,389,429,444,452,528,557,573,585,611,650,673,675,715,726,753,807,849,893,913,919,935,1007,1019"
3497,-2.2,O([C@H](CCc1ccc(O)cc1)C)[C@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](CO)O1,"1,13,21,32,33,80,210,219,222,233,245,283,289,299,310,356,413,463,481,489,492,497,573,578,610,656,695,726,730,739,740,745,754,790,807,820,849,897,953,1019"
4651,20.1,O=C(Oc1cc2c([C@H]3[C@@H]([C@@H]4[C@](C)([C@H](O)CC4)CC3)CC2)cc1)c1ccccc1,"3,15,33,36,49,64,105,118,138,145,175,212,233,250,289,301,322,356,361,389,408,452,453,455,519,555,562,606,622,636,650,695,705,713,714,718,726,728,760,807,823,849,866,875,887,893,917,926,927,961,1019"
5352,23.2,O(C)c1c(OC)cc([C@@H]2[C@H]3C(=O)OC[C@H]3Cc3c(O)c4OCOc4cc23)cc1OC,"3,33,52,69,74,120,153,202,227,231,249,255,267,270,282,307,314,325,333,356,361,429,433,441,475,481,489,512,519,575,578,585,650,656,695,711,723,776,807,824,839,841,849,868,875,881,899,926,941,944,946,1019"
1860,-2.6,Nc1c(-c2ccccc2)nc2c(N)nc(N)nc2n1,"64,136,147,175,216,323,356,377,378,389,409,425,433,435,471,554,600,647,677,700,726,736,751,831,849,855,1015"
4269,5.2,Clc1cc2C(c3c(F)cccc3)=N[C@H](C(=O)OCC)C(=O)Nc2cc1,"7,8,10,33,36,64,65,74,80,90,106,117,142,147,165,175,214,216,241,294,314,352,356,375,378,406,451,534,561,650,659,677,695,698,699,724,726,765,793,807,816,843,849,875,893,904,958,962,984,1019"
1258,-3.8,O=C1C(CC)(c2ccccc2)C(=O)NCN1,"33,36,64,74,80,90,117,151,175,186,294,314,327,336,356,389,428,544,556,650,690,713,726,772,842,849,926"
1907,-3.0,O([C@@H](CC[N+H2]C)c1ccccc1)c1c(C)cccc1,"91,140,147,457,807,844"
5613,44.1,O=CC=1[C@]2(C)[C@H]([C@]3(C)[C@@H]([C@@]4(C)[C@@](C)([C@H]5[C@@](C)([C@H](C(C)C)CC5)CC4)CC3)CC2)CCC=1,"1,2,8,10,33,36,38,39,93,123,138,175,243,250,253,267,283,301,310,345,356,412,452,453,478,498,527,592,650,694,712,757,768,849,860,889,918,926,994,1004,1019"
408,-2.7,O=C1CC2[N+H](C)C(C1)CCC2,"91,140,147,457,807,844"
3134,0.9,O(C)c1c2c(OC(=O)C=3C(=O)CCC2=3)c2[C@H]3[C@H](Oc2c1)OC=C3,"33,59,133,208,210,227,249,276,284,314,322,356,361,373,374,383,408,444,512,570,574,580,608,624,637,650,656,672,695,714,723,750,751,769,811,841,849,875,881,900,915,918,924,926,946,960,1019"
1997,-1.8,O=C(O[C@@]1([C@@H](C)C[N+@H](C)CC1)c1ccccc1)CC,"91,140,147,457,807,844"
